Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Description,Main Version,Split Transistor Version,Buying link
"R48,R55,R56,R59",4,27k,,,,Resistor_SMD:R_0805_2012Metric,Resistor 27k 0805,,,https://www.thegioiic.com/dien-tro-27-kohm-0805-5-
"REL1,REL2",2,V23057-B0006-A101,,,,easyeda2kicad:RELAY-TH_TE_V23057BXXX,Relay V23057-B0006-A101,,,https://jlcpcb.com/partdetail/TEConnectivity-V23057_B0006A101/C1564084
SW1,1,SS12D10G3,,,,easyeda2kicad:SW-TH_3P-P4.8-L12.7-W6.7_SS12D10G3,Switch SS12D10G3,,,https://www.thegioiic.com/ss12d00g4-cong-tac-truot-3-chan-xuyen-lo-on-off-1p2t-0-5a
"TU1,TU2",2,10uF 16V,,,,easyeda2kicad:CAP-SMD_L3.2-W1.6-RD-C7171,Capacitor tantalum 10uF 16V,,,https://www.thegioiic.com/tu-tantalum-10uf-16v-2312-tajc106k016rnj
"TU3,TU7",2,3.3uF 35V,,,,easyeda2kicad:CAP-SMD_L3.5-W2.8-R-RD,Capacitor tantalum 3.3uF 35V,,,https://jlcpcb.com/partdetail/-TAJC335K035RNJ/C22230
TU4,1,2.2uF 35V,,,,easyeda2kicad:CAP-SMD_L3.5-W2.8-R-RD,Capacitor tantalum 2.2uF 35V,,,https://jlcpcb.com/partdetail/-TAJB225K035RNJ/C19276
"U1,U3",2,LM7805T,,,,easyeda2kicad:TO-220-3_L10.0-W4.5-P2.54-L,Regulator 5V LM7805T,,,https://www.thegioiic.com/lm7805t-ic-on-ap-5v-1-5a-to-220-3
U2,1,TLP181GB-S,,,,easyeda2kicad:SOP-4_L3.7-W4.6-P2.54-LS7.0-TL,Optoisolator TLP181GB-S,,,https://jlcpcb.com/partdetail/363305-TLP181GB_S_UMW/C388374
U4,1,L7815CV,,,,easyeda2kicad:TO-220-3_L10.0-W4.5-P2.54-L,Regulator 15V L7815CV,,,https://www.thegioiic.com/l7815cv-ic-on-ap-15v-1-5a
"U5,U7",2,B0505S-1W,,,,easyeda2kicad:PWRM-TH_BXXXXS-1W,Regulator 5V B0505S-1W,,,https://www.thegioiic.com/b0505s-1wr3-chuyen-doi-dc-dc-vao-5v-ra-5v-1w
,,,,,,,,,,
,,,,,,,,Chú thích,,Chú thích
,,,,,,,,Dùng cho c? 2 phiên b?n,,thegioiic.com
,,,,,,,,Phiên b?n không tách transistor ,,jlcpcb.com
,,,,,,,,Phiên b?n tách transistor,,
